名前:

日付:

                    都道府県庁所在地クイズ (問題番号 12)

1. 高知県の都道府県庁所在地は?
 A. 札幌市
 B. 高知市
 C. 福島市
 D. 青森市

2. 佐賀県の都道府県庁所在地は?
 A. 高松市
 B. 佐賀市
 C. 名古屋市
 D. 福岡市

3. 青森県の都道府県庁所在地は?
 A. 松山市
 B. 福岡市
 C. 札幌市
 D. 青森市

4. 山口県の都道府県庁所在地は?
 A. 山口市
 B. 富山市
 C. 青森市
 D. 東京

5. 岡山県の都道府県庁所在地は?
 A. 大津市
 B. 富山市
 C. 那覇市
 D. 岡山市

6. 奈良県の都道府県庁所在地は?
 A. 名古屋市
 B. 山口市
 C. 奈良市
 D. 富山市

7. 鳥取県の都道府県庁所在地は?
 A. 鳥取市
 B. 名古屋市
 C. 青森市
 D. 神戸市

8. 福岡県の都道府県庁所在地は?
 A. 高知市
 B. 福岡市
 C. 福井市
 D. 水戸市

9. 北海道の都道府県庁所在地は?
 A. 福岡市
 B. 富山市
 C. 岐阜市
 D. 札幌市

10. 栃木県の都道府県庁所在地は?
 A. 宇都宮市
 B. 横浜市
 C. 和歌山市
 D. 神戸市

11. 沖縄県の都道府県庁所在地は?
 A. 広島市
 B. 高知市
 C. 福井市
 D. 那覇市

12. 宮城県の都道府県庁所在地は?
 A. 仙台市
 B. 福井市
 C. 札幌市
 D. 松江市

13. 京都府の都道府県庁所在地は?
 A. 京都市
 B. 長野市
 C. 岐阜市
 D. 名古屋市

14. 埼玉県の都道府県庁所在地は?
 A. 甲府市
 B. 神戸市
 C. さいたま市
 D. 山口市

15. 和歌山県の都道府県庁所在地は?
 A. 和歌山市
 B. 札幌市
 C. 岡山市
 D. 新潟市

16. 長野県の都道府県庁所在地は?
 A. 長野市
 B. 鹿児島市
 C. 甲府市
 D. 名古屋市

17. 大分県の都道府県庁所在地は?
 A. 千葉市
 B. 熊本市
 C. 富山市
 D. 大分市

18. 鹿児島県の都道府県庁所在地は?
 A. 札幌市
 B. 鹿児島市
 C. 津市
 D. 盛岡市

19. 徳島県の都道府県庁所在地は?
 A. 福井市
 B. 宮崎市
 C. 鳥取市
 D. 徳島市

20. 滋賀県の都道府県庁所在地は?
 A. 東京
 B. 大津市
 C. 徳島市
 D. 高松市

21. 福島県の都道府県庁所在地は?
 A. 那覇市
 B. 鹿児島市
 C. 山形市
 D. 福島市

22. 山形県の都道府県庁所在地は?
 A. さいたま市
 B. 横浜市
 C. 山形市
 D. 福井市

23. 神奈川県の都道府県庁所在地は?
 A. 岐阜市
 B. 横浜市
 C. さいたま市
 D. 高松市

24. 福井県の都道府県庁所在地は?
 A. 福井市
 B. 津市
 C. 名古屋市
 D. 高知市

25. 千葉県の都道府県庁所在地は?
 A. 広島市
 B. 長崎市
 C. 千葉市
 D. 鳥取市

26. 岐阜県の都道府県庁所在地は?
 A. 横浜市
 B. 岐阜市
 C. 千葉市
 D. 名古屋市

27. 新潟県の都道府県庁所在地は?
 A. 広島市
 B. 佐賀市
 C. 新潟市
 D. 岡山市

28. 群馬県の都道府県庁所在地は?
 A. 福島市
 B. 千葉市
 C. 前橋市
 D. 鳥取市

29. 宮崎県の都道府県庁所在地は?
 A. 盛岡市
 B. 宮崎市
 C. 松山市
 D. 山口市

30. 愛媛県の都道府県庁所在地は?
 A. 佐賀市
 B. 盛岡市
 C. 神戸市
 D. 松山市

31. 岩手県の都道府県庁所在地は?
 A. 岐阜市
 B. 秋田市
 C. 千葉市
 D. 盛岡市

32. 香川県の都道府県庁所在地は?
 A. 高松市
 B. 福井市
 C. 大津市
 D. 山口市

33. 秋田県の都道府県庁所在地は?
 A. 盛岡市
 B. 秋田市
 C. 大津市
 D. 青森市

34. 東京都の都道府県庁所在地は?
 A. 神戸市
 B. 甲府市
 C. 東京
 D. 広島市

35. 茨城県の都道府県庁所在地は?
 A. 神戸市
 B. 水戸市
 C. 金沢市
 D. 名古屋市

36. 熊本県の都道府県庁所在地は?
 A. 静岡市
 B. 大阪市
 C. 鳥取市
 D. 熊本市

37. 三重県の都道府県庁所在地は?
 A. 新潟市
 B. 福島市
 C. 横浜市
 D. 津市

38. 愛知県の都道府県庁所在地は?
 A. 長崎市
 B. 高知市
 C. 名古屋市
 D. 和歌山市

39. 石川県の都道府県庁所在地は?
 A. 広島市
 B. 那覇市
 C. 金沢市
 D. 福井市

40. 静岡県の都道府県庁所在地は?
 A. 松山市
 B. 広島市
 C. 長野市
 D. 静岡市

41. 島根県の都道府県庁所在地は?
 A. 福井市
 B. 熊本市
 C. 名古屋市
 D. 松江市

42. 兵庫県の都道府県庁所在地は?
 A. 熊本市
 B. 大分市
 C. 神戸市
 D. 奈良市

43. 広島県の都道府県庁所在地は?
 A. 福島市
 B. 広島市
 C. 甲府市
 D. 鳥取市

44. 長崎県の都道府県庁所在地は?
 A. 福岡市
 B. 長崎市
 C. 青森市
 D. 前橋市

45. 大阪府の都道府県庁所在地は?
 A. 松山市
 B. 大阪市
 C. 山形市
 D. 長野市

46. 富山県の都道府県庁所在地は?
 A. 福岡市
 B. 那覇市
 C. 富山市
 D. 東京

47. 山梨県の都道府県庁所在地は?
 A. 盛岡市
 B. 富山市
 C. 那覇市
 D. 甲府市

